song1,song2,distance
1976,guit_koshkin_da_capo_13_ukranian_folk_song,166.816827695
1976,guit_koshkin_da_capo_14_carcassi,232.056664458
1976,guit_koshkin_da_capo_15_etude,1040.03987797
1976,guit_koshkin_da_capo_16_humoresque,403.165240887
1976,guit_koshkin_da_capo_17_the_sailors_fate,258.560406946
1976,guit_koshkin_da_capo_18_jota,298.27604973
1976,guit_koshkin_da_capo_19_polka,207.942444427
1976,guit_koshkin_da_capo_20_jig,229.679944632
1976,guit_koshkin_da_capo_21_dotted_line,263.768443493
1976,guit_koshkin_da_capo_22_choros,480.271469127
1976,guit_koshkin_da_capo_23_aria,547.239057332
1976,guit_koshkin_da_capo_24_amphion,252.090948176
1976,guit_koshkin_mascarades_01_poissons_dor,148.784246817
1976,guit_koshkin_mascarades_02_le_bateau_en_papier,222.743587681
1976,guit_koshkin_mascarades_03_rodeo,132.41356675
1976,guit_koshkin_mascarades_04_valse,248.09697552
1976,guit_koshkin_mascarades_05_la_marelle,203.282164554
1976,guit_koshkin_mascarades_06_le_dragon_de_papier,162.233580392
1976,guit_koshkin_mascarades_07_la_chanson_du_menestrel,225.330673552
1976,guit_koshkin_mascarades_08_pinocchio,196.335292125
1976,guit_koshkin_mascarades_09_colombine,377.018173736
1976,guit_koshkin_prelude_and_waltz,168.193111398
1976,guit_koshkin_the_fall_of_birds_1_andante_quasi_passacaglia,181.770963649
1976,guit_koshkin_the_fall_of_birds_2_toccata,137.69469175
1976,guit_koshkin_the_porcelain_tower_0_theme_by_stepan_rak,212.383767933
1976,guit_koshkin_the_porcelain_tower_1_march_the_yellow_paper_dragon,184.398555711
1976,guit_koshkin_the_porcelain_tower_2_valse_bamboo_umbrella,147.986372875
1976,guit_koshkin_the_porcelain_tower_3_sarabande_sphere_inside_sphere,333.910847542
1976,guit_koshkin_the_porcelain_tower_6_toccata_fox-werewolf,152.233719804
1976,guit_koshkin_the_princes_toys_1_the_mischievous_prince,277.004421563
1976,guit_koshkin_the_princes_toys_2_the_mechanical_monkey,153.929229134
1976,guit_koshkin_the_princes_toys_3_the_doll_with_blinking_eyes,164.181137756
1976,guit_koshkin_the_princes_toys_4_playing_soldiers,155.871729129
1976,guit_krieger_menuett,216.543684085
1976,guit_kruisbrink_dont_give_up,284.73676745
1976,guit_kuffner_080_sonatines_01_andantino_1,368.886905389
1976,jani_e_bhul,137.931544073
1976,jedin_sokol_mukul,128.988764107
1976,je_ratey_mor,151.825512822
1976,jhilik_jhilik,144.086407336
1976,jibone_ki_pabo_na,157.499255225
1976,jodi_aponar_monay,147.258488125
1976,jodio_rojoni,139.619029603
1976,jogotey_anondojoggey,292.332103897
1976,ke_jabi_ay,377.239789567
1976,ke_jeno_go,256.282499768
1976,keno_pantho_e_choncholota,304.05475143
1976,ki_dekhle_tumi,187.114940176
1976,ki_hobe_ar,155.654902861
1976,monay_robey_ki_na_robey,158.437034551
1976,muktiro_mondiro,128.556059877
1976,na_na_na_aj,1775.61494815
1976,nishirat,150.924140821
1976,o_amar_mon_jomunar,159.097045103
1976,oi_gachher_patay,291.738919668
1976,oi_je_sobuj,228.704263706
1976,o_majhi_bhaiyo,609.514844656
1976,o_mayna_kotha_kao,135.397496475
1976,o_polash_o_shimul,303.031846563
1976,o_projapoti,163.582355299
1976,orey_bagha_re,181.939502041
1976,orey_sabdhani_pothik,120.162740319
1976,pallabini_go,163.398373902
1976,prantorero_gan,270.749230746
1976,prem_ekbari_esechhilo,139.994192499
1976,rong_shudhu,152.474254306
1976,shanto_noditi,198.39173307
1976,shesh_nahi_je,181.871270469
1976,sobai_to_sukhi,138.128643037
1976,surjo_dobar_pala,261.992679163
1976,tai_tomar_anondo,143.698348554
1976,tomar_shesh_bicharer,142.894775183
1976,tumi_je_giyachho,300.234284534
aji_bijano_ghorey,1976,134.486013355
aji_bijano_ghorey,aji_bijano_ghorey,0.000749082588889
aji_bijano_ghorey,aji_joto_tara,110.970119231
aji_bijano_ghorey,amar_andhar_ghorer,202.126201968
aji_bijano_ghorey,amar_bhuban_to_aj_holo_kangal,155.047572072
aji_bijano_ghorey,amar_din_katey_na,455.165865303
aji_bijano_ghorey,amar_ei_path_chawatei_anondo,114.339170056
aji_bijano_ghorey,amar_swapno,159.070041023
aji_bijano_ghorey,ami_andharer_rong,118.508435808
aji_bijano_ghorey,ami_cholte_cholte,414.383233758
aji_bijano_ghorey,ami_jamini,1013.53616431
aji_bijano_ghorey,ami_tomay_joto,607.735759029
aji_bijano_ghorey,andhar_amar_rerec,201.569898284
aji_bijano_ghorey,ay_bristi_jhnepe,694.639604994
aji_bijano_ghorey,bnash_baganer_mathar_opor,391.555991924
aji_bijano_ghorey,bonotol,172.78687434
aji_bijano_ghorey,bristi_thamar,177.119727711
aji_bijano_ghorey,charano_dhorite_diyo_go_amarey,1209.83427827
aji_bijano_ghorey,chompaboti,219.503098834
aji_bijano_ghorey,chonchol_sonali,155.871493123
aji_bijano_ghorey,dadra_kaharbay,129.023624939
aji_bijano_ghorey,dujoney_dekha_holo,160.428088449
aji_bijano_ghorey,ei_duniyay_bhai,199.988138259
aji_bijano_ghorey,ei_ghum_ghum_chand,125.809312026
aji_bijano_ghorey,ekti_madhabi,106.460321478
aji_bijano_ghorey,emon_ekta_jhor_uthuk,783.962166858
aji_bijano_ghorey,geetgobinda,379.787228884
aji_bijano_ghorey,guit_horetzky_op18_amusemens_08,250.601533308
aji_bijano_ghorey,guit_horetzky_op18_amusemens_09,389.443930187
aji_bijano_ghorey,guit_horetzky_op18_amusemens_10,295.82707244
aji_bijano_ghorey,guit_horetzky_op18_amusemens_11,197.58354831
aji_bijano_ghorey,guit_horetzky_op18_amusemens_12,531.215209137
aji_bijano_ghorey,guit_horetzky_op23_12_divertimentos_01_tempo_di_valse_in_c,386.577543819
aji_bijano_ghorey,guit_hummel_allegretto_in_c,264.656728148
aji_bijano_ghorey,guit_ivanov-kramskoi_prelude_in_e,818.03272907
aji_bijano_ghorey,guit_ivanov-kramskoi_sad_tune,401.390598401
aji_bijano_ghorey,guit_ivanov-kramskoi_variations_on_do_not_wake_her,168.135353785
aji_bijano_ghorey,guit_ives_ayre_no2,238.780089228
aji_bijano_ghorey,guit_jobim_a_felicidade,367.786022669
aji_bijano_ghorey,guit_kapsberger_libro_primo_di_lauto_toccata_6,420.274857984
aji_bijano_ghorey,guit_kleynjans_op060_2_barcarolles_1_lent,403.650909307
aji_bijano_ghorey,guit_kleynjans_op140_petite_suite_in_g_1_valse_triste,256.935489339
aji_bijano_ghorey,guit_kleynjans_op177_o_cordula,245.472264089
aji_bijano_ghorey,guit_koshkin_ballade,604.851073453
aji_bijano_ghorey,guit_koshkin_da_capo_01_intrada,592.046336298
aji_bijano_ghorey,guit_koshkin_da_capo_02_melody,225.009774521
aji_bijano_ghorey,guit_koshkin_da_capo_03_dance,340.567670118
aji_bijano_ghorey,guit_koshkin_da_capo_04_ballad,253.872417582
aji_bijano_ghorey,guit_koshkin_da_capo_05_snowflakes,181.386237933
aji_bijano_ghorey,guit_koshkin_da_capo_06_desert,535.389737909
aji_bijano_ghorey,guit_koshkin_da_capo_07_five_crotchets,344.528661081
aji_bijano_ghorey,guit_koshkin_da_capo_08_dialogue,367.514652654
aji_bijano_ghorey,guit_koshkin_da_capo_09_elephant,1031.8363236
aji_bijano_ghorey,guit_koshkin_da_capo_10_waltz,244.148752794
aji_bijano_ghorey,guit_koshkin_da_capo_11_without_landscape,783.281636992
aji_bijano_ghorey,guit_koshkin_da_capo_12_ceremony,511.094338416
aji_bijano_ghorey,guit_koshkin_da_capo_13_ukranian_folk_song,142.077492258
aji_bijano_ghorey,guit_koshkin_da_capo_14_carcassi,267.092514053
aji_bijano_ghorey,guit_koshkin_da_capo_15_etude,1365.43342856
aji_bijano_ghorey,guit_koshkin_da_capo_16_humoresque,459.024365255
aji_bijano_ghorey,guit_koshkin_da_capo_17_the_sailors_fate,356.3953861
aji_bijano_ghorey,guit_koshkin_da_capo_18_jota,361.545546293
aji_bijano_ghorey,guit_koshkin_da_capo_19_polka,342.368932598
aji_bijano_ghorey,guit_koshkin_da_capo_20_jig,234.095011925
aji_bijano_ghorey,guit_koshkin_da_capo_21_dotted_line,301.13287793
aji_bijano_ghorey,guit_koshkin_da_capo_22_choros,588.008360187
aji_bijano_ghorey,guit_koshkin_da_capo_23_aria,683.463315088
aji_bijano_ghorey,guit_koshkin_da_capo_24_amphion,325.130639969
aji_bijano_ghorey,guit_koshkin_mascarades_01_poissons_dor,263.209410264
aji_bijano_ghorey,guit_koshkin_mascarades_02_le_bateau_en_papier,247.774895121
aji_bijano_ghorey,guit_koshkin_mascarades_03_rodeo,294.154032208
aji_bijano_ghorey,guit_koshkin_mascarades_04_valse,293.206395153
aji_bijano_ghorey,guit_koshkin_mascarades_05_la_marelle,210.318902383
aji_bijano_ghorey,guit_koshkin_mascarades_06_le_dragon_de_papier,153.563173057
aji_bijano_ghorey,guit_koshkin_mascarades_07_la_chanson_du_menestrel,331.591616956
aji_bijano_ghorey,guit_koshkin_mascarades_08_pinocchio,353.417354883
aji_bijano_ghorey,guit_koshkin_mascarades_09_colombine,436.326893814
aji_bijano_ghorey,guit_koshkin_prelude_and_waltz,158.547760312
aji_bijano_ghorey,guit_koshkin_the_fall_of_birds_1_andante_quasi_passacaglia,236.799177618
aji_bijano_ghorey,guit_koshkin_the_fall_of_birds_2_toccata,174.098785896
aji_bijano_ghorey,guit_koshkin_the_porcelain_tower_0_theme_by_stepan_rak,270.05146801
aji_bijano_ghorey,guit_koshkin_the_porcelain_tower_1_march_the_yellow_paper_dragon,218.762594472
aji_bijano_ghorey,guit_koshkin_the_porcelain_tower_2_valse_bamboo_umbrella,175.700844821
aji_bijano_ghorey,guit_koshkin_the_porcelain_tower_3_sarabande_sphere_inside_sphere,419.944642258
aji_bijano_ghorey,guit_koshkin_the_porcelain_tower_6_toccata_fox-werewolf,171.987220208
aji_bijano_ghorey,guit_koshkin_the_princes_toys_1_the_mischievous_prince,301.239740961
aji_bijano_ghorey,guit_koshkin_the_princes_toys_2_the_mechanical_monkey,146.803060921
aji_bijano_ghorey,guit_koshkin_the_princes_toys_3_the_doll_with_blinking_eyes,170.438793563
aji_bijano_ghorey,guit_koshkin_the_princes_toys_4_playing_soldiers,165.106853893
aji_bijano_ghorey,guit_krieger_menuett,274.825173465
aji_bijano_ghorey,guit_kruisbrink_dont_give_up,350.421488319
aji_bijano_ghorey,guit_kuffner_080_sonatines_01_andantino_1,411.679726772
aji_bijano_ghorey,jani_e_bhul,121.059132573
aji_bijano_ghorey,jedin_sokol_mukul,129.507845802
aji_bijano_ghorey,je_ratey_mor,145.468628272
aji_bijano_ghorey,jhilik_jhilik,152.548243597
aji_bijano_ghorey,jibone_ki_pabo_na,129.125048
aji_bijano_ghorey,jodi_aponar_monay,166.378386232
aji_bijano_ghorey,jodio_rojoni,130.011529036
aji_bijano_ghorey,jogotey_anondojoggey,359.037160801
aji_bijano_ghorey,ke_jabi_ay,523.053779211
aji_bijano_ghorey,ke_jeno_go,365.687565524
aji_bijano_ghorey,keno_pantho_e_choncholota,197.914190568
aji_bijano_ghorey,ki_dekhle_tumi,252.773292869
aji_bijano_ghorey,ki_hobe_ar,138.860336863
aji_bijano_ghorey,monay_robey_ki_na_robey,123.572386444
aji_bijano_ghorey,muktiro_mondiro,133.329430518
aji_bijano_ghorey,na_na_na_aj,2809.56451398
aji_bijano_ghorey,nishirat,119.426196648
aji_bijano_ghorey,o_amar_mon_jomunar,127.579384081
aji_bijano_ghorey,oi_gachher_patay,390.729334145
aji_bijano_ghorey,oi_je_sobuj,364.775030667
aji_bijano_ghorey,o_majhi_bhaiyo,909.896174697
