song1,song2,distance
1976,1976,0.0
1976,aji_bijano_ghorey,1859.27185184
1976,aji_joto_tara,3413.63347163
1976,amar_andhar_ghorer,1538.37331342
1976,amar_bhuban_to_aj_holo_kangal,3564.62667211
1976,amar_din_katey_na,1407.05478115
1976,amar_ei_path_chawatei_anondo,1671.47312619
1976,amar_swapno,1254.77700309
1976,ami_andharer_rong,5527.49742288
1976,ami_cholte_cholte,1342.29233272
1976,ami_jamini,1502.53978074
1976,ami_tomay_joto,892.036675115
1976,andhar_amar_rerec,446.798708631
1976,ay_bristi_jhnepe,2114.23036245
1976,bnash_baganer_mathar_opor,1133.33906269
1976,bonotol,2812.5197464
1976,bristi_thamar,2715.24697854
1976,charano_dhorite_diyo_go_amarey,2141.69042303
1976,chompaboti,3530.63873815
1976,chonchol_sonali,852.098129323
1976,dadra_kaharbay,4571.94067662
1976,dujoney_dekha_holo,960.746761535
1976,ei_duniyay_bhai,1181.29278039
1976,ei_ghum_ghum_chand,486.423569551
1976,ekti_madhabi,2538.14623614
1976,emon_ekta_jhor_uthuk,3965.64151947
1976,geetgobinda,1940.79133125
1976,guit_horetzky_op18_amusemens_08,431.109351283
1976,guit_horetzky_op18_amusemens_09,798.827763288
1976,guit_horetzky_op18_amusemens_10,845.162466857
1976,guit_horetzky_op18_amusemens_11,407.860194425
1976,guit_horetzky_op18_amusemens_12,1611.78212024
1976,guit_horetzky_op23_12_divertimentos_01_tempo_di_valse_in_c,726.205600619
1976,guit_hummel_allegretto_in_c,813.290109706
1976,guit_ivanov-kramskoi_prelude_in_e,1348.48267164
1976,guit_ivanov-kramskoi_sad_tune,372.171267929
1976,guit_ivanov-kramskoi_variations_on_do_not_wake_her,1659.25367047
1976,guit_ives_ayre_no2,1303.62087922
1976,guit_jobim_a_felicidade,1472.86174541
1976,guit_kapsberger_libro_primo_di_lauto_toccata_6,1589.10845201
1976,guit_kleynjans_op060_2_barcarolles_1_lent,3061.00068274
1976,guit_kleynjans_op140_petite_suite_in_g_1_valse_triste,1767.98007547
1976,guit_kleynjans_op177_o_cordula,599.257321638
1976,guit_koshkin_ballade,1299.80185769
1976,guit_koshkin_da_capo_01_intrada,1419.2965311
1976,guit_koshkin_da_capo_02_melody,432.889731086
